,chembl,smile,pAct,relationship
649,None_CHEMBL3342121,CCCCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,6.4,=
650,None_CHEMBL3342122,COCCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1ccc(OC)cc1,6.1,=
651,None_CHEMBL3342123,COCCOC(=O)c1c(C)nc2sc(C(=O)c3ccccc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,5.89,=
652,None_CHEMBL3342124,COCCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,6.7,=
653,None_CHEMBL3342125,COCCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3OC)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,5.6,=
654,None_CHEMBL3342127,CCCOCCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,6.22,=
655,None_CHEMBL3342128,CCOC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,5.52,=
656,None_CHEMBL3342134,CCOC(=O)c1c(C)nc2oc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,5.47,=
657,None_CHEMBL1957190,CC(C)n1c2c(c3c1-c1ccccc1C3=O)C(=O)CCC2,4.46,=
658,None_CHEMBL1957191,O=C1CCCc2c1c1c(n2Cc2ccccc2)-c2ccccc2C1=O,4.52,=
659,None_CHEMBL1957192,O=C1CCCc2c1c1c(n2CCc2ccccc2)-c2ccccc2C1=O,6.37,=
660,None_CHEMBL1957193,O=C1CCCc2c1c1c(n2CCCc2ccccc2)-c2ccccc2C1=O,6.1,=
661,None_CHEMBL3353413,CC1CC(=O)c2c3c(n(C(C)C)c2C1)-c1ccccc1C3=O,5.39,=
662,None_CHEMBL1957203,CC1CC(=O)c2c3c(n(Cc4ccccc4)c2C1)-c1ccccc1C3=O,4.82,=
663,None_CHEMBL1957202,O=C1CC(c2ccccc2)Cc2c1c1c(n2Cc2ccccc2)-c2ccccc2C1=O,6.02,=
664,None_CHEMBL3353414,CC1CC(=O)c2c3c(n(CCc4ccccc4)c2C1)-c1ccccc1C3=O,6.64,=
665,None_CHEMBL3353415,O=C1CC(c2ccccc2)Cc2c1c1c(n2CCc2ccccc2)-c2ccccc2C1=O,6.31,=
666,None_CHEMBL3353416,COc1ccccc1CCn1c2c(c3c1-c1ccccc1C3=O)C(=O)CCC2,6.68,=
667,None_CHEMBL3353417,COc1cccc(CCn2c3c(c4c2-c2ccccc2C4=O)C(=O)CCC3)c1,6.51,=
668,None_CHEMBL3353418,COc1ccc(CCn2c3c(c4c2-c2ccccc2C4=O)C(=O)CCC3)cc1,6.16,=
669,None_CHEMBL3353419,CC(C)=CCOc1cccc2c1C(=O)c1c3c(n(C(C)C)c1-2)CCCC3=O,5.52,=
670,None_CHEMBL3353420,CC(C)=CCOc1cccc2c1-c1c(c3c(n1C(C)C)CCCC3=O)C2=O,5.8,=
671,None_CHEMBL3353421,CC1CCc2c(c3c(n2C(C)C)-c2ccccc2C3=O)C1=O,4.7,=
672,None_CHEMBL3353422,CC(C)n1c2c(c3c1-c1ccccc1C3=O)C(=O)C(Cc1ccccc1)(Cc1ccccc1)CC2,6.21,=
673,None_CHEMBL3426382,CCCc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,6.74,=
674,None_CHEMBL3426384,Cc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,7.0,=
675,None_CHEMBL3426386,COc1ccccc1-n1nnc(-c2ccccc2NC(=O)c2ccc([N+](=O)[O-])cc2)n1,6.58,=
676,None_CHEMBL3426387,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)c1,7.1,=
677,None_CHEMBL3426387,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)c1,6.51,=
678,None_CHEMBL3426387,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)c1,6.41,=
679,None_CHEMBL3426387,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)c1,6.23,=
680,None_CHEMBL3426388,COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,6.93,=
681,None_CHEMBL3426388,COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,6.42,=
682,None_CHEMBL3426388,COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,6.27,=
683,None_CHEMBL3426388,COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1,6.23,=
684,None_CHEMBL3426391,Cc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cc1,6.86,=
