molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL379446,CCCC(C(=O)c1ccc([N+](=O)[O-])cc1)N1CCCC1,Ki,'=',266.0,nM,6.58,276.34,CHEMBL1138144,6.575118363368933
CHEMBL5091642,CCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC(N(C(=O)CC)c2ccc(Cl)c(Cl)c2)CC1,Ki,'>',50000.0,nM,,799.77,CHEMBL5053542,4.301029995663981
CHEMBL441075,,Ki,'=',96.0,nM,7.02,629.31,CHEMBL1131881,7.017728766960431
CHEMBL208251,CC(C)CN(Cc1ccccc1Cl)C1CCNCC1.O=C(O)/C=C/C(=O)O,Ki,'=',83.0,nM,7.08,396.92,CHEMBL1147706,7.080921907623926
CHEMBL207719,CC(C)CN(Cc1ccc(F)cc1)C1CCNCC1.O=C(O)/C=C/C(=O)O,Ki,'=',200.0,nM,6.7,380.46,CHEMBL1147706,6.698970004336019
CHEMBL4535474,CNCc1ccccc1-c1csc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,Ki,,522.03,nM,,448.59,CHEMBL4507273,6.282304538261953
CHEMBL196760,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)NCCCCCC(=O)NCCN4C5CCC4[C@@H](C(=O)OC)[C@@H](c4ccc(Cl)c(Cl)c4)C5)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,Ki,'=',62.0,nM,7.21,1011.10,CHEMBL1141227,7.2076083105017466
CHEMBL194907,CNCCCC1Cc2ccccc2N(c2ccc(F)cc2)C1=O,Ki,'<',200.0,nM,,312.39,CHEMBL1140387,6.698970004336019
CHEMBL403377,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(C(F)(F)F)cc1,Ki,'=',9000.0,nM,5.05,447.50,CHEMBL1141555,5.045757490560675
CHEMBL4564992,CN(CCOc1cc(COc2ccccc2)on1)C1CCCCC1.Cl,Ki,'<',10000.0,nM,,366.89,CHEMBL4425114,5.0
CHEMBL3663909,Cc1ccc(C2CN(C)Cc3ccccc32)o1,Ki,'=',5640.0,nM,5.25,227.31,CHEMBL3638841,5.248720896016658
CHEMBL4227688,COC[C@@H]1CN[C@H]2CC[C@]1(c1ccc(Cl)c(Cl)c1)C2,Ki,'=',5.754,nM,8.24,300.23,CHEMBL4219032,8.240030142445693
CHEMBL4551344,O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(Cc3ccc(C(F)(F)F)cc3-c3ccc(Cl)cc3)CC2)cc1Oc1cnc2[nH]ccc2c1,Ki,'=',9797.16,nM,5.01,904.37,CHEMBL5169023,5.0088997993156426
CHEMBL3912176,CCOCCCCNC(CC(C)C)C1(c2ccc(SC)cc2)CCC1,Ki,'=',92.02,nM,7.04,363.61,CHEMBL3886482,7.036117771071223
CHEMBL3957797,CCSCCCCNC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1,Ki,'=',67.56,nM,7.17,368.03,CHEMBL3886482,7.170310359101029
CHEMBL3986502,CCOc1ccc(C2(C(CC(C)C)NCCSCC)CCC2)cc1,Ki,'=',115.7,nM,6.94,349.58,CHEMBL3886482,6.936666641048251
CHEMBL391947,CNCc1cc(C#CCCN2CCOCC2)ccc1Oc1ccc(SC)c(C)c1,Ki,'=',1000.0,nM,6.0,410.58,CHEMBL1149657,6.0
CHEMBL2179217,COc1ccc(S(=O)(=O)n2cc(C)c3cc(Cl)ccc32)cc1NC1CCN(C)CC1,Ki,'=',2899.0,nM,5.54,447.99,CHEMBL2176989,5.537751784645002
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',490.0,nM,6.31,303.36,CHEMBL1135775,6.309803919971486
CHEMBL4282264,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,Ki,,1778.28,nM,,536.48,CHEMBL4507259,5.749999855918706
CHEMBL4640372,OC(CN1CCC2(CCN(CCSC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1)c1ccccc1,Ki,'=',104.0,nM,6.98,522.71,CHEMBL4613215,6.982966660701219
CHEMBL3323099,CN1Cc2ccccc2C(c2cccc3sccc23)C1,Ki,'=',4.5,nM,8.35,279.41,CHEMBL3638841,8.346787486224656
CHEMBL3323107,CN1Cc2ccccc2C(c2ccc3cnsc3c2)C1,Ki,'=',36.5,nM,7.44,280.40,CHEMBL3638841,7.437707135543525
CHEMBL4520293,CN(C)[C@@H]1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1,Ki,,1109.25,nM,,307.40,CHEMBL4507322,5.954970562611408
CHEMBL3931765,CC(O)CN1CCN(CC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,'=',1200.0,nM,5.92,422.54,CHEMBL3862037,5.920818753952375
CHEMBL3704749,CCOc1ccc(C2(C(CC(C)C)NCCOC(=O)CC)CCC2)cc1,Ki,'=',80.4,nM,7.09,361.53,CHEMBL3638905,7.094743951251549
CHEMBL3323089,CN1Cc2ccccc2C(c2ccc3occc3c2)C1,Ki,'=',4.5,nM,8.35,263.34,CHEMBL3638841,8.346787486224656
CHEMBL561132,CN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1,Ki,,373.0,nM,,416.47,CHEMBL4507290,6.428291168191312
CHEMBL232672,COC(=O)C1=C(c2ccc(OC)cc2)CCC1,Ki,'=',141253.75,nM,,232.28,CHEMBL1149591,3.8500000137195762
CHEMBL328415,Cc1ccc(C2CC3CCC(C2c2cc(-c4ccc(Cl)cc4)no2)N3C)cc1,Ki,'=',9.7,nM,8.01,392.93,CHEMBL4024774,8.013228265733755
CHEMBL4090416,CN(C)CCN1C2CCC1CC(NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,Ki,'=',16.0,nM,7.8,399.53,CHEMBL4024774,7.795880017344075
