compound_id,base_rdkit_smiles,relation,avg_pKi
CHEMBL555121,CC(C)N(C(=O)c1ccccc1C(F)(F)F)[C@H]1CCNC1,,6.34008379993015
CHEMBL356981,CC(C)N(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,,6.590228032229065
CHEMBL344110,CC(C)N(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,,6.440702317388119
CHEMBL592951,CC(C)N(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3c(c2C1)C(=O)NCC3,,8.096910013008056
CHEMBL377057,CC(C)N(Cc1ccccc1C(F)(F)F)C1CCNCC1,,8.2518119729938
CHEMBL392933,CC(C)N1CCC(COc2cc3c(cn2)C(c2ccc(Cl)c(Cl)c2)CN(C)C3)CC1,,7.508638306165727
CHEMBL247669,CC(C)N1CCC(COc2cc3c(cn2)C(c2ccc(Cl)c(Cl)c2)CNC3)CC1,,7.431798275933005
CHEMBL245308,CC(C)N1CCC(Oc2ccc(C(CCN(C)C)Oc3ccccc3)cc2)CC1,,6.772113295386326
CHEMBL393071,CC(C)N1CCN(C(=O)c2ccc(C(CCN(C)C)Oc3ccc(C(F)(F)F)cc3)cc2)CC1,,7.376750709602099
CHEMBL245309,CC(C)N1CCN(C(=O)c2ccc(C(CCN(C)C)Oc3ccccc3)cc2)CC1,,6.610833915635467
CHEMBL1306,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,5.215668051977851
CHEMBL565397,CC(C)NC(C)C(=O)c1cccc(Cl)c1,>,5.0
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,,6.694648630553377
CHEMBL275742,CC(C)NC[C@@H](O)COc1cccc2ccccc12,,6.488116639021126
CHEMBL452861,CC(C)NC[C@H](O)COc1cccc2ccccc12,,6.18111458540599
CHEMBL359025,CC(C)N[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,,6.82565290486723
CHEMBL424496,CC(C)N[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,,6.70446769648675
CHEMBL401069,CC(C)OC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,,3.3010299956639813
CHEMBL345689,CC(C)OC(=O)C1C2CCC(C[C@@H]1c1ccc(Cl)cc1)CN2C,,6.369572124974976
